"Hashtag","Freq"
"bluemaga",45
"carabaocup",45
"covidisnotover",45
"darkbrandon",45
"demsdeliver4us",45
"eattherich",45
"immigration",45
"cancer",44
"fedloanservicing",44
"ffelp",44
"minusstudentdebt",44
"ppp",44
"affordablehousing",43
"blackpink",43
"love",43
"music",43
"republicansaretheproblem",43
"scotus",43
"claycaneshow",42
"data",42
"economy",42
"everysingledollar",42
"fakeorfortune",42
"mentalhealth",42
"neverforget",42
"votegreen",42
"bigdata",41
"california",41
"cantpaywontpay",41
"covid",41
"digital",41
"endthewarondrugs",41
"gophypocrisy",41
"independent",41
"iot",41
"naacp",41
"nazis",41
"americans",40
"burnitdown",40
"cashapp",40
"donate",40
"forgivestudentdebt",40
"norightsnorevenue",40
"phynawhodey",40
"racism",40
"studentloansponzischeme",40
"truth",40
"venmome",40
"wweraw",40
"blacklivesmatter",39
"defaulttogether2022",39
"free",39
"machinelearning",39
"mybodymychoice",39
"raisecorporatetaxes",39
"unconstitutional",39
"bbnaija",38
"cancelallstudentloandebt",38
"cancelcovid19sbaloans",38
"cancelitall",38
"freethedegree",38
"megamillions",38
"thickboyproblems",38
"marketing",37
"nytimes",37
"educationforall",36
"hield",36
"legalizeprostitution",36
"losangeles",36
"nobillionaires",36
"novemberiscoming",36
"blackimmigrants",35
"boycottbollywood",35
"ctc",35
"election2022",35
"fixpslf",35
"generalstrikerevolution",35
"greenparty",35
"happylaborday",35
"javascript",35
"mentalhealthmatters",35
"modigoback",35
"personalloan",35
"philosoph",35
"studentdebtrelief",35
"votingrightsact",35
"aidvantage",34
"expandscotus",34
"hbcu",34
"highereducation",34
"medicareforalllegalresidents",34
"mohela",34
"onlyfanspromo",34
"student",34
"trumpisgoingtojail",34
"votebluetosaveamerica",34
"welcomebackbritney",34
"wwenxt",34
"abolishstudentdebt",33
"blm",33
"howarddean",33
"january6thhearings",33
"lestraitres",33
"ny03",33
"ny19",33
"python",33
"strongertogether",33
"bbc",32
"enoughlsenough",32
"gamescom2022",32
"healthcareforall",32
"makecollegefree",32
"money",32
"socialism",32
"tiktok",32
"txt_ring",32
"worldteachersday",32
"babarazam",31
"bigotry",31
"corruption",31
"fearmongering",31
"fundhighereducation",31
"independents",31
"jimcrowjoe",31
"policereform",31
"royblunt",31
"seventeeninfortworth",31
"trumpsupporters",31
"weightloss",31
"american",30
"bidenworstpresidentever",30
"cancelstudentloansnow",30
"dembosses",30
"dosomething",30
"facts",30
"fortheppl",30
"genx",30
"spousalconsolidation",30
"15hr",29
"bailout",29
"blackmaternalmortality",29
"disgustinggop",29
"fjb",29
"fourthofjuly",29
"ghosting",29
"hr5907",29
"humanrights",29
"letsgobrandon",29
"terroristgop",29
"thanksbiden",29
"uvalde",29
"bellaokagbue",28
"china",28
"doublepell",28
"elections2022",28
"forall",28
"freebrittneygriner",28
"happydiwali",28
"justsayin",28
"pslfwaiver",28
"strikeagainstthepatriarchy",28
"twitch",28
"wallstreet",28
"الاهلي_القيصومة",28
"bernie",27
"buffalo",27
"chess",27
"democratsdeliver",27
"endcorporatepersonhood",27
"fascism",27
"god",27
"metaverse",27
"navient",27
"oureyesareopennow",27
"ppploanforgiveness",27
"rt",27
"tercih22",27
"wearenotaloan",27
"90dayfianceuk",26
"enoughisenough",26
"healthcare",26
"hsmtmts",26
"lies",26
"meettheteacher",26
"mufc",26
"nationalteacherminimumwage",26
"nowarwithrussia",26
"poorpeoplescampaign",26
"salariorosasigue",26
"shirt",26
"studentdebtcancellation",26
"stupidquestionsaboutsoup",26
"veterans",26
"amazon",25
"app",25
"bidenharris",25
"cancel",25
"collegedebt",25
"election",25
"essayhelp",25
"ethereum",25
"gardening",25
"gardeningtwitter",25
"happyhalloween",25
"hedgefundguru",25
"houseofthedragon",25
"insurrection",25
"ncpol",25
"nftcommunity",25
"solidarity",25
"studentloanscam",25
"thanksjoe",25
"barcamancity",24
"canceldelinquenttaxdebt",24
"collegetuition",24
"compoststudentdebt",24
"generalstrikenow",24
"guncontrol",24
"linkedin",24
"merrickgarland",24
"nft",24
"photography",24
"ppploans",24
"racismandtheeconomy",24
"replenishrrf",24
"studenloans",24
"twitter",24
"ukraine️",24
"unitedstates",24
"vunzigewoensdag",24
"abolishthefilibuster",23
"callmeeveryday",23
"chicago",23
"cola",23
"contentcreator",23
"cryptocurrency",23
"desantis",23
"fullcancellation",23
"harris",23
"independenceday2022",23
"nature",23
"nyc",23
"payyourownbills",23
"retweeet",23
"apple",22
"cancelrent",22
"cancelstudentloansbyeo",22
"cats",22
"disabled",22
"gay",22
"irs",22
"italy",22
"nsfwtw",22
"pickupthepenjoe",22
"spousalconsolidationloan",22
"unionsforall",22
"wageslaves",22
"whatsapp",22
"youreinacult",22
"aftershockdoc",21
"azov",21
"banderite",21
"bbnaija7",21
"cancelstudentdebtforteachers",21
"climatescam",21
"cute",21
"debtrelief",21
"dogs",21
"eighteendays",21
"essaywriting",21
"hispanic",21
"july4th",21
"letthemeatcake",21
"lgbt",21
"meminusstudentdebt",21
"milf",21
"minimumwage",21
"mutualaidrequest",21
"selfemployed",21
"sweetvscardona",21
"teachershortage",21
"trend",21
"unionstrong",21
"46millionfreshstart",20
"abolishscotus",20
"affordablechildcare",20
"bbw",20
"boycottindiana",20
"cancelallstudentloans",20
"cancelculture",20
"classwar",20
"debtforgiveness",20
"debtprison",20
"dog",20
"duopoly",20
"factchecker",20
"fdr",20
"fun",20
"georgia",20
"gofundme",20
"handlers",20
"kobe",20
"legalizecannabis",20
"milkingcows",20
"nhs",20
"pets",20
"racialwealthgap",20
"reformhigheredfunding",20
"whitehouse",20
"writing",20
"academicwriting",19
"asuu",19
"backtoschoolmonday",19
"coverup",19
"deadisland2",19
"demorat",19
"dl",19
"dolar",19
"essaywritingservice",19
"freeeducation",19
"goptraitorstodemocracy",19
"integrity",19
"laborday",19
"lgbtqia",19
"mohelahelp",19
"nationalfinancialawarenessday",19
"pellgrant",19
"personalstatement",19
"pet",19
"politics",19
"researchpapers",19
"researchwriting",19
"sexy",19
"smallbusinessowner",19
"sop",19
"starvoting",19
"statementofpurpose",19
"svstudentloans",19
"texas",19
"ukrainian",19
"us",19
"weimaramericababwuela",19
"4thofjuly",18
"abolishcapitalism",18
"abortion",18
"animal",18
"asiacup2022final",18
"bankonstudents",18
"bernie2024",18
"cancelalldebt",18
"capitalism",18
"chub",18
"civildisobedience",18
"defundthepolice",18
"epa",18
"foodsecurity",18
"gnd",18
"government",18
"javawithjimmy",18
"lisa",18
"nationalshutdown",18
"notmeus",18
"proportionalrepresentation",18
"protectborrowers",18
"publicinterestlaw",18
"sundayvibes",18
"wildlife",18
"abolishthepolice",17
"abortionishealthcare",17
"americandreamdeferred",17
"atentadoacfk",17
"bbnaijas7",17
"bidenisafailure",17
"bjorka",17
"black",17
"borrowersdefense",17
"canceldebt",17
"dugina",17
"finserv",17
"flickofthepen",17
"freepalestine",17
"greatreset",17
"halloween",17
"humanity",17
"naturephotography",17
"nintendoswitch",17
"predatory",17
"pricecap",17
"ripfdp",17
"singlemom",17
"tejran",17
"viral",17
"votethemallout",17
"vr",17
"worstpresidentever",17
"youtube",17
"abortionrights",16
"ad",16
"cancelingdebtforeveryoneisalsogood",16
"collegeforallact",16
"conservative",16
"dontatmetwitter",16
"economics",16
"ethereummerge",16
"executiveorder",16
"fanfact",16
"forthepeople",16
"goodpolicyisgoodpolitics",16
"hr4563",16
"medtwitter",16
"mepolitics",16
"mondaythoughts",16
"notapennynotavote",16
"paidfamilyleave",16
"restaurant",16
"scam",16
"stocks",16
"votethirdparty",16
"wealthgap",16
"youbetternot",16
"antitrustreform",15
"bds",15
"bff",15
"bidenjubilee",15
"bigass",15
"cancelmortgagedebt",15
"gopbetrayedamerica",15
"hellnowewontowe",15
"medications",15
"nftart",15
"nodejs",15
"nsfw",15
"oil",15
"payyourownstudentloan",15
"puppy",15
"salliemaenot",15
"studentdent",15
"studentloancrisis",15
"studentloanstories",15
"theview",15
"trumpisgoingtoprison",15
"tshirt",15
"tuitionfreecollege",15
"txlege",15
"usacashapp",15
"votethemout",15
"wednesdaymotivation",15
"weoweyounothing",15
"acknowledge",14
"baby",14
"basicincome",14
"breakingnews",14
"cancelstudentloaninterest",14
"capitalcom",14
"classwarfare",14
"cryptos",14
"cutthecheck",14
"donateorshare",14
"fafsa",14
"fourthofjuly2022",14
"gasprices",14
"gunviolence",14
"jan6th",14
"january6th",14
"january6thcommitteehearings",14
"kitty",14
"lending",14
"medicare",14
"nlp",14
"notmuch",14
"obama",14
"parents",14
"peterobiinamerica",14
"prophetmuhammad",14
"publicoption",14
"reclaimourfuture",14
"rightnow",14
"stoptheshots",14
"taxes",14
"tbt",14
"teaching",14
"university",14
"workers",14
"analytics",13
"appleevent",13
"august",13
"avfc",13
"backshots",13
"bbnajia",13
"bidenlied",13
"bidensrecession",13
"bidenstolechristmas",13
"blackpussy",13
"borrowerdefense",13
"buyingcontent",13
"campaignpromises",13
"chandigarhuniversity",13
"cleanwateract",13
"constitution",13
"creampie",13
"dems",13
"disabilities",13
"elizabethwarren",13
